family,genus,species,gen.spe,bodydepth,snoutlength,eyediameter,size,schooling
Acanthuridae,Acanthurus,achilles,Acanthurus.achilles,0.098504108,0.487779681,0.069172106,M,Solitary
Acanthuridae,Acanthurus,albipectoralis,Acanthurus.albipectoralis,0.001397261,0.440262332,0.000622937,L,Smallgroups
Acanthuridae,Acanthurus,auranticavus,Acanthurus.auranticavus,0.034632323,0.538649025,-0.008570787,L,Largegroups
Acanthuridae,Acanthurus,blochii,Acanthurus.blochii,0.075265132,0.478221688,-0.004914155,L,Smallgroups
Acanthuridae,Acanthurus,dussumieri,Acanthurus.dussumieri,0.100102812,0.566186675,0.015159797,XL,Solitary
Acanthuridae,Acanthurus,fowleri,Acanthurus.fowleri,0.045968691,0.595056343,-0.00534945,L,Solitary
Acanthuridae,Acanthurus,guttatus,Acanthurus.guttatus,0.219627615,0.404397723,-0.001143462,M,Largegroups
Acanthuridae,Acanthurus,leucocheilus,Acanthurus.leucocheilus,0.05776625,0.563361215,0.093091378,L,Solitary
Acanthuridae,Acanthurus,leucopareius,Acanthurus.leucopareius,0.131249007,0.489693768,0.005187776,M,Smallgroups
Acanthuridae,Acanthurus,lineatus,Acanthurus.lineatus,0.032690378,0.463860815,-0.0290235,L,Solitary
Acanthuridae,Acanthurus,maculiceps,Acanthurus.maculiceps,0.053387997,0.584509466,0.018593022,L,Solitary
Acanthuridae,Acanthurus,mata,Acanthurus.mata,-0.001236302,0.485080074,0.030302307,L,Smallgroups
Acanthuridae,Acanthurus,nigricans,Acanthurus.nigricans,0.088789707,0.489719917,0.033240247,M,Solitary
Acanthuridae,Acanthurus,nigricauda,Acanthurus.nigricauda,0.018217346,0.56841338,0.030710334,L,Solitary
Acanthuridae,Acanthurus,nigrofuscus,Acanthurus.nigrofuscus,0.008081976,0.396850415,0.019229897,M,Solitary
Acanthuridae,Acanthurus,nigroris,Acanthurus.nigroris,0.022255879,0.503032056,0.011589443,M,Solitary
Acanthuridae,Acanthurus,olivaceus,Acanthurus.olivaceus,0.004994097,0.509483228,0.014106835,L,Solitary
Acanthuridae,Acanthurus,pyroferus,Acanthurus.pyroferus,0.046525544,0.500501398,0.027316352,M,Solitary
Acanthuridae,Acanthurus,thompsoni,Acanthurus.thompsoni,-0.019806295,0.410379734,0.057437303,M,Solitary
Acanthuridae,Acanthurus,triostegus,Acanthurus.triostegus,0.043244197,0.432437628,0.005491011,M,Largegroups
Acanthuridae,Acanthurus,xanthopterus,Acanthurus.xanthopterus,0.076476028,0.521492034,6.25E-05,XL,Largegroups
Labridae,Bolbometopon,muricatum,Bolbometopon.muricatum,0.030492249,0.312379506,0.027946542,XL,Largegroups
Labridae,Calotomus,spinidens,Calotomus.spinidens,-0.114477118,0.284133489,-0.055729007,M,Solitary
Labridae,Cetoscarus,ocellatus,Cetoscarus.ocellatus,0.000991683,0.428246014,-0.032787833,XL,Smallgroups
Labridae,Chlorurus,bleekeri,Chlorurus.bleekeri,-0.067022117,0.365253157,-0.04817344,L,Smallgroups
Labridae,Chlorurus,bowersi,Chlorurus.bowersi,-0.031201832,0.373296768,-0.086073832,L,Solitary
Labridae,Chlorurus,frontalis,Chlorurus.frontalis,-0.003947736,0.365125119,-0.019930629,L,Largegroups
Labridae,Chlorurus,japanensis,Chlorurus.japanensis,-0.04565522,0.365560171,-0.062592097,L,Smallgroups
Labridae,Chlorurus,microrhinos,Chlorurus.microrhinos,0.03228204,0.358910891,0.001787441,XL,Smallgroups
Labridae,Chlorurus,spilurus,Chlorurus.spilurus,-0.068665456,0.379117362,-0.061176361,L,Largegroups
Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus.binotatus,0.038699869,0.451106662,0.029546405,M,Solitary
Acanthuridae,Ctenochaetus,flavicauda,Ctenochaetus.flavicauda,0.085208463,0.484538399,0.025962718,S,Solitary
Acanthuridae,Ctenochaetus,hawaiiensis,Ctenochaetus.hawaiiensis,0.110846921,0.676806084,-0.01795469,M,Solitary
Acanthuridae,Ctenochaetus,marginatus,Ctenochaetus.marginatus,0.083160918,0.532608696,0.017204541,M,Solitary
