"surveyid","country","site","sitelat","sitelong","surveydate","depth","family","genus","species","block","total","genspe"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Acanthurus","grammoptilus",2,4,"Acanthurus.grammoptilus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Acanthurus","nigricauda",2,3,"Acanthurus.nigricauda"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Acanthurus","olivaceus",2,2,"Acanthurus.olivaceus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Ctenochaetus","binotatus",1,15,"Ctenochaetus.binotatus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Ctenochaetus","binotatus",2,10,"Ctenochaetus.binotatus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Zebrasoma","scopas",1,2,"Zebrasoma.scopas"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Acanthuridae","Zebrasoma","scopas",2,1,"Zebrasoma.scopas"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Blenniidae","Ecsenius","bicolor",1,3,"Ecsenius.bicolor"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Blenniidae","Ecsenius","stictus",1,1,"Ecsenius.stictus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Blenniidae","Meiacanthus","atrodorsalis",1,1,"Meiacanthus.atrodorsalis"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Blenniidae","Plagiotremus","rhinorhynchos",1,1,"Plagiotremus.rhinorhynchos"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Blenniidae","Plagiotremus","rhinorhynchos",2,3,"Plagiotremus.rhinorhynchos"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Carangidae","Caranx","sexfasciatus",2,2,"Caranx.sexfasciatus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Chaetodontidae","Chaetodon","aureofasciatus",1,4,"Chaetodon.aureofasciatus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Chaetodontidae","Chaetodon","aureofasciatus",2,2,"Chaetodon.aureofasciatus"
4000720,"Australia","Watsons Bay north",-14.66,145.45,2010-06-27 14:00:00,3,"Chaetodontidae","Chaetodon","auriga",2,1,"Chaetodon.auriga"
