"","Site","Exposure","year","depth","transect","Family","Functional.Group","species","abundance"
"1","Big Vickis","Sheltered",2011,"deep",1,"Acanthuridae","Grazer","aca.bloc",1
"2","Big Vickis","Sheltered",2011,"deep",1,"Acanthuridae","Grazer","cte.bino",1
"3","Big Vickis","Sheltered",2011,"deep",1,"Acanthuridae","Grazer","cte.stri",3
"4","Big Vickis","Sheltered",2011,"deep",1,"Balistidae","Macroinvertivore","suf.chry",2
"5","Big Vickis","Sheltered",2011,"deep",1,"Chaetodontidae","Obligate corallivore","cha.baro",4
"6","Big Vickis","Sheltered",2011,"deep",1,"Chaetodontidae","Obligate corallivore","cha.ttus",2
"7","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Carnivore","oxy.orie",1
"8","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Hunting piscivore","tha.luna",2
"9","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Macroinvertivore","che.chlo",3
"10","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Macroinvertivore","che.fasc",1
"11","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Macroinvertivore","cor.batu",2
"12","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Macroinvertivore","hem.melt",1
"13","Big Vickis","Sheltered",2011,"deep",1,"Labridae","Microinvertivore","hal.mela",2
"14","Big Vickis","Sheltered",2011,"deep",1,"Lutjanidae","Carnivore","lut.carp",3
"15","Big Vickis","Sheltered",2011,"deep",1,"Mullidae","Macroinvertivore","par.mult",1
"16","Big Vickis","Sheltered",2011,"deep",1,"Nemipteridae","Macroinvertivore","sco.bili",2
"17","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Extensive farmer","pom.ward",2
"18","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Indeterminate farmer","pom.adel",11
"19","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Omnivore","pom.ambo",13
"20","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Omnivore","pom.brac",2
"21","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Omnivore","pom.molu",62
"22","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Planktivore","chy.roll",3
"23","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Planktivore","das.arua",2
"24","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Planktivore","das.reti",5
"25","Big Vickis","Sheltered",2011,"deep",1,"Pomacentridae","Planktivore","pom.naga",15
"26","Big Vickis","Sheltered",2011,"deep",1,"Scaridae","Scraper","sca.flav",2
"27","Big Vickis","Sheltered",2011,"deep",1,"Scaridae","Scraper","sca.schl",2
"28","Big Vickis","Sheltered",2011,"deep",1,"Serranidae","Hunting piscivore","pms.leop",1
"29","Big Vickis","Sheltered",2011,"deep",2,"Acanthuridae","Cropper","aca.ncus",1
"30","Big Vickis","Sheltered",2011,"deep",2,"Acanthuridae","Grazer","aca.bloc",4
"31","Big Vickis","Sheltered",2011,"deep",2,"Acanthuridae","Grazer","cte.bino",1
"32","Big Vickis","Sheltered",2011,"deep",2,"Acanthuridae","Grazer","cte.stri",7
"33","Big Vickis","Sheltered",2011,"deep",2,"Balistidae","Macroinvertivore","suf.chry",2
"34","Big Vickis","Sheltered",2011,"deep",2,"Chaetodontidae","Facultative corallivore","cha.klei",1
"35","Big Vickis","Sheltered",2011,"deep",2,"Chaetodontidae","Omnivore","cha.auri",1
"36","Big Vickis","Sheltered",2011,"deep",2,"Chaetodontidae","Omnivore","cha.vaga",2
"37","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Hunting piscivore","oxy.diag",1
"38","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Hunting piscivore","tha.luna",11
"39","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Macroinvertivore","che.chlo",2
"40","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Macroinvertivore","che.fasc",2
"41","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Macroinvertivore","cor.batu",1
"42","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Microinvertivore","hal.mela",5
"43","Big Vickis","Sheltered",2011,"deep",2,"Labridae","Obligate corallivore","lbr.xant",1
"44","Big Vickis","Sheltered",2011,"deep",2,"Lethrinidae","Carnivore","let.atki",1
"45","Big Vickis","Sheltered",2011,"deep",2,"Mullidae","Macroinvertivore","par.barb",1
"46","Big Vickis","Sheltered",2011,"deep",2,"Mullidae","Macroinvertivore","par.mult",2
"47","Big Vickis","Sheltered",2011,"deep",2,"Nemipteridae","Carnivore","pen.aure",1
"48","Big Vickis","Sheltered",2011,"deep",2,"Nemipteridae","Macroinvertivore","sco.bili",2
"49","Big Vickis","Sheltered",2011,"deep",2,"Pomacanthidae","Omnivore","cen.bico",3
"50","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Indeterminate farmer","pom.adel",3
"51","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Omnivore","pom.ambo",32
"52","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Omnivore","pom.brac",11
"53","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Omnivore","pom.molu",62
"54","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","amb.cura",1
"55","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","chy.roll",6
"56","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","das.reti",8
"57","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","neo.azys",9
"58","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","pom.coel",1
"59","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","pom.lepi",2
"60","Big Vickis","Sheltered",2011,"deep",2,"Pomacentridae","Planktivore","pom.naga",6
"61","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Excavator","chs.sord",3
"62","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Scraper","sca.dimi",1
"63","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Scraper","sca.flav",3
"64","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Scraper","sca.glob",4
"65","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Scraper","sca.rivu",25
"66","Big Vickis","Sheltered",2011,"deep",2,"Scaridae","Scraper","sca.schl",1
"67","Big Vickis","Sheltered",2011,"deep",2,"Serranidae","Carnivore","cep.cyan",2
"68","Big Vickis","Sheltered",2011,"deep",2,"Serranidae","Hunting piscivore","pms.leop",1
"69","Big Vickis","Sheltered",2011,"deep",3,"Acanthuridae","Grazer","aca.bloc",7
