family,genus,species,gen.spe,bodydepth,snoutlength,eyediameter,headlength,peduncle
Acanthuridae,Acanthurus,achilles,Acanthurus.achilles,0.098504108,0.487779681,0.069172106,0.231576579,-0.038893615
Acanthuridae,Acanthurus,albipectoralis,Acanthurus.albipectoralis,0.001397261,0.440262332,0.000622937,0.240534979,-0.062400373
Acanthuridae,Acanthurus,auranticavus,Acanthurus.auranticavus,0.034632323,0.538649025,-0.008570787,0.226319937,-0.035120617
Acanthuridae,Acanthurus,blochii,Acanthurus.blochii,0.075265132,0.478221688,-0.004914155,0.253889567,-0.027056005
Acanthuridae,Acanthurus,dussumieri,Acanthurus.dussumieri,0.100102812,0.566186675,0.015159797,0.244387701,-0.04640333
Acanthuridae,Acanthurus,fowleri,Acanthurus.fowleri,0.045968691,0.595056343,-0.00534945,0.224499358,-0.061972213
Acanthuridae,Acanthurus,guttatus,Acanthurus.guttatus,0.219627615,0.404397723,-0.001143462,0.3307194,-0.048279949
Acanthuridae,Acanthurus,leucocheilus,Acanthurus.leucocheilus,0.05776625,0.563361215,0.093091378,0.196320364,-0.052347827
Acanthuridae,Acanthurus,leucopareius,Acanthurus.leucopareius,0.131249007,0.489693768,0.005187776,0.247308643,-0.053177446
Acanthuridae,Acanthurus,lineatus,Acanthurus.lineatus,0.032690378,0.463860815,-0.0290235,0.237290874,-0.002442765
Acanthuridae,Acanthurus,maculiceps,Acanthurus.maculiceps,0.053387997,0.584509466,0.018593022,0.250755287,-0.036200666
Acanthuridae,Acanthurus,mata,Acanthurus.mata,-0.001236302,0.485080074,0.030302307,0.220641544,-0.072496653
Acanthuridae,Acanthurus,nigricans,Acanthurus.nigricans,0.088789707,0.489719917,0.033240247,0.25059159,-0.046454921
Acanthuridae,Acanthurus,nigricauda,Acanthurus.nigricauda,0.018217346,0.56841338,0.030710334,0.215753201,-0.028618715
Acanthuridae,Acanthurus,nigrofuscus,Acanthurus.nigrofuscus,0.008081976,0.396850415,0.019229897,0.247835635,-0.00504265
Acanthuridae,Acanthurus,nigroris,Acanthurus.nigroris,0.022255879,0.503032056,0.011589443,0.215094346,-0.024282795
Acanthuridae,Acanthurus,olivaceus,Acanthurus.olivaceus,0.004994097,0.509483228,0.014106835,0.222456453,-0.031244665
Acanthuridae,Acanthurus,pyroferus,Acanthurus.pyroferus,0.046525544,0.500501398,0.027316352,0.236911669,-0.004389189
Acanthuridae,Acanthurus,thompsoni,Acanthurus.thompsoni,-0.019806295,0.410379734,0.057437303,0.202811689,-0.015549517
Acanthuridae,Acanthurus,triostegus,Acanthurus.triostegus,0.043244197,0.432437628,0.005491011,0.270297431,-0.045323225
Acanthuridae,Acanthurus,xanthopterus,Acanthurus.xanthopterus,0.076476028,0.521492034,6.25E-05,0.257561204,-0.067374471
Labridae,Bolbometopon,muricatum,Bolbometopon.muricatum,0.030492249,0.312379506,0.027946542,0.302889811,0.047603052
Labridae,Calotomus,spinidens,Calotomus.spinidens,-0.114477118,0.284133489,-0.055729007,0.286003486,0.133885683
Labridae,Cetoscarus,ocellatus,Cetoscarus.ocellatus,0.000991683,0.428246014,-0.032787833,0.352780953,0.071399653
Labridae,Chlorurus,bleekeri,Chlorurus.bleekeri,-0.067022117,0.365253157,-0.04817344,0.298477335,0.13798552
Labridae,Chlorurus,bowersi,Chlorurus.bowersi,-0.031201832,0.373296768,-0.086073832,0.314474026,0.109735026
Labridae,Chlorurus,frontalis,Chlorurus.frontalis,-0.003947736,0.365125119,-0.019930629,0.30481093,0.078797204
Labridae,Chlorurus,japanensis,Chlorurus.japanensis,-0.04565522,0.365560171,-0.062592097,0.294665377,0.127763225
Labridae,Chlorurus,microrhinos,Chlorurus.microrhinos,0.03228204,0.358910891,0.001787441,0.277485907,0.084373857
Labridae,Chlorurus,spilurus,Chlorurus.spilurus,-0.068665456,0.379117362,-0.061176361,0.314362535,0.150176295
Acanthuridae,Ctenochaetus,binotatus,Ctenochaetus.binotatus,0.038699869,0.451106662,0.029546405,0.282009441,0.010100004
Acanthuridae,Ctenochaetus,flavicauda,Ctenochaetus.flavicauda,0.085208463,0.484538399,0.025962718,0.261357712,0.002292251
Acanthuridae,Ctenochaetus,hawaiiensis,Ctenochaetus.hawaiiensis,0.110846921,0.676806084,-0.01795469,0.242609867,-0.028929758
Acanthuridae,Ctenochaetus,marginatus,Ctenochaetus.marginatus,0.083160918,0.532608696,0.017204541,0.21942281,-0.035319632
Acanthuridae,Ctenochaetus,striatus,Ctenochaetus.striatus,0.043108328,0.555009824,-0.024847244,0.263169968,-0.000893073
Acanthuridae,Ctenochaetus,strigosus,Ctenochaetus.strigosus,0.07149081,0.519708203,-0.035080189,0.262564745,-0.007078942
Acanthuridae,Ctenochaetus,tominiensis,Ctenochaetus.tominiensis,0.008810214,0.524514643,-0.046347247,0.250226431,0.020598987
Labridae,Hipposcarus,longiceps,Hipposcarus.longiceps,0.022239926,0.385857334,-0.01542324,0.337881179,-0.017492589
Kyphosidae,Kyphosus,vaigiensis,Kyphosus.vaigiensis,0.065230714,0.164409273,-0.035017615,0.35945905,-0.053789844
Labridae,Leptoscarus,vaigiensis,Leptoscarus.vaigiensis,-0.103949833,0.296928247,-0.044308584,0.299063972,0.139063017
Acanthuridae,Naso,annulatus,Naso.annulatus,-0.041029,0.526336176,0.079955112,0.201979986,-0.125666362
Acanthuridae,Naso,brachycentron,Naso.brachycentron,0.036437747,0.573624595,0.077616352,0.259609326,-0.210130092
Acanthuridae,Naso,brevirostris,Naso.brevirostris,-0.027349258,0.537395651,0.061061371,0.211730128,-0.151188082
Acanthuridae,Naso,hexacanthus,Naso.hexacanthus,-0.079271436,0.547721891,0.046183336,0.205347002,-0.15248434
Acanthuridae,Naso,lituratus,Naso.lituratus,-0.002696635,0.589743946,-0.005254487,0.260421569,-0.116020004
Acanthuridae,Naso,lopezi,Naso.lopezi,-0.063117935,0.516277564,0.084651871,0.215943211,-0.157661906
Acanthuridae,Naso,thynnoides,Naso.thynnoides,-0.115650999,0.437664328,0.01692649,0.220601432,-0.146388662
Acanthuridae,Naso,tuberosus,Naso.tuberosus,-0.018653105,0.535207733,0.07371784,0.24783267,-0.171782604
Acanthuridae,Naso,unicornis,Naso.unicornis,0.038949632,0.641986461,0.023797982,0.229922646,-0.176751344
Acanthuridae,Naso,vlamingii,Naso.vlamingii,-0.030556744,0.583075399,0.082016927,0.211113966,-0.169959684
Acanthuridae,Paracanthurus,hepatus,Paracanthurus.hepatus,0.014006146,0.533163211,-0.017460598,0.257764414,-0.045395636
Labridae,Scarus,altipinnis,Scarus.altipinnis,0.003068559,0.47106025,-0.043195539,0.299584819,0.109271334
Labridae,Scarus,chameleon,Scarus.chameleon,-0.058994114,0.31680228,-0.078814814,0.304661342,0.120189349
Labridae,Scarus,dimidiatus,Scarus.dimidiatus,-0.081886011,0.341233554,-0.078046139,0.301377354,0.167154113
Labridae,Scarus,festivus,Scarus.festivus,-0.029672222,0.292363983,-0.04098439,0.308178534,0.120634332
Labridae,Scarus,flavipectoralis,Scarus.flavipectoralis,-0.088173155,0.304373614,-0.083118791,0.293903027,0.120826504
