family,genspe,genus,species,year,habitat,depth,length,category
Acanthuridae,Acanthurus.tristis,Acanthurus,tristis,1993,reef-associated,30,25,No_crypto
Acanthuridae,Acanthurus.blochii,Acanthurus,blochii,1835,reef-associated,15,45,No_crypto
Acanthuridae,Acanthurus.xanthopterus,Acanthurus,xanthopterus,1835,reef-associated,100,70,No_crypto
Acanthuridae,Acanthurus.chirurgus,Acanthurus,chirurgus,1787,reef-associated,25,39,No_crypto
Acanthuridae,Ctenochaetus.truncatus,Ctenochaetus,truncatus,2001,reef-associated,21,16,No_crypto
Acanthuridae,Acanthurus.dussumieri,Acanthurus,dussumieri,1835,reef-associated,131,54,No_crypto
Acanthuridae,Acanthurus.bariene,Acanthurus,bariene,1831,reef-associated,50,50,No_crypto
Acanthuridae,Acanthurus.leucopareius,Acanthurus,leucopareius,1903,reef-associated,85,25,No_crypto
Acanthuridae,Acanthurus.fowleri,Acanthurus,fowleri,1951,reef-associated,50,45,No_crypto
Acanthuridae,Prionurus.microlepidotus,Prionurus,microlepidotus,1804,reef-associated,0,70,No_crypto
Acanthuridae,Naso.lopezi,Naso,lopezi,1927,reef-associated,50,60,No_crypto
Acanthuridae,Acanthurus.bahianus,Acanthurus,bahianus,1855,reef-associated,40,38.1,No_crypto
Acanthuridae,Ctenochaetus.strigosus,Ctenochaetus,strigosus,1828,reef-associated,113,14.6,No_crypto
Acanthuridae,Prionurus.maculatus,Prionurus,maculatus,1887,reef-associated,20,45,No_crypto
Acanthuridae,Acanthurus.nigricans,Acanthurus,nigricans,1758,reef-associated,67,21.3,No_crypto
Acanthuridae,Zebrasoma.xanthurum,Zebrasoma,xanthurum,1852,reef-associated,20,36.7,No_crypto
Acanthuridae,Ctenochaetus.tominiensis,Ctenochaetus,tominiensis,1955,reef-associated,45,16,No_crypto
Acanthuridae,Ctenochaetus.striatus,Ctenochaetus,striatus,1825,reef-associated,35,26,No_crypto
Acanthuridae,Acanthurus.japonicus,Acanthurus,japonicus,1931,reef-associated,20,21,No_crypto
Acanthuridae,Ctenochaetus.hawaiiensis,Ctenochaetus,hawaiiensis,1955,reef-associated,61,25,No_crypto
Acanthuridae,Prionurus.punctatus,Prionurus,punctatus,1862,reef-associated,35,60,No_crypto
Acanthuridae,Naso.brachycentron,Naso,brachycentron,1835,reef-associated,30,90,No_crypto
Acanthuridae,Acanthurus.gahhm,Acanthurus,gahhm,1775,reef-associated,40,40,No_crypto
